capturas;modo;peso[kg];volumem[L];densidad[kg/L]
captures/20260828_140709;mm_per_px;4750;5592,648;0,8493
captures/20260828_141026;mm_per_px;4885;16332,779;0,2991
captures/20260828_142408;mm_per_px;4440;8749,427;0,5075
captures/20260828_142730;mm_per_px;5005;10419,879;0,4803
captures/20260828_143150;mm_per_px;6115;10421,783;0,5868
captures/20260828_143757;mm_per_px;11875;23562,033;0,5040
capturas/1/20260828_144528/flow;original;5650;4673,2;1,209
capturas/2/20260828_144959/flow;original;8760;10494,8;0,835
capturas/2/20260828_144959/flow;mm_per_px;8760;9804,561;0,8935
capturas/3/20260828_145415/flow;original;4700;3679,7;1,277
capturas/4/20260828_145754/flow;original;8300;10145,1;0,818
capturas/4/20260828_145754/flow;mm_per_px;8300;9455,719;0,8778
